States,Diabetes Status,Age Group,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,3,2,1,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,0,3,12,6,6,12,5,7,9
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,6,13,11,4,5,8,2,6
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,13,9,3,2,6,4,5
Missouri,All Diabetes,All Recipient Ages,479,570,545,582,615,510,496,442,401,387,349,385,399,391,423,380,420,432,364,345,256,273,309,332,342,344,316,271,314,327,280,214,240,232,237,241
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,,1-5 Years,12,11,7,9,6,7,6,9,5,7,8,8,12,6,3,3,3,1,4,5,2,5,10,6,3,8,1,7,3,5,3,5,4,5,4,4
,,6-10 Years,5,2,4,3,6,6,4,3,3,7,5,4,7,3,3,9,1,2,8,3,3,3,5,3,4,8,1,2,7,2,3,3,10,4,5,3
,,11-17 Years,6,13,19,7,8,9,15,15,11,14,7,11,7,14,17,21,17,18,25,11,12,12,6,14,8,12,12,10,16,13,18,7,8,14,10,7
,,18-34 Years,39,66,64,63,62,65,67,63,69,31,40,48,40,57,49,54,59,48,68,52,46,50,75,53,68,69,76,58,68,78,60,69,73,75,63,78
,,35-49 Years,112,120,96,123,133,114,142,109,116,108,75,115,105,104,103,97,100,114,104,102,81,76,82,122,118,105,91,88,94,106,106,76,77,73,89,91
,,50-64 Years,159,197,186,207,250,182,155,157,133,133,150,136,151,141,167,149,171,183,119,129,87,108,99,101,117,123,119,88,101,96,75,45,58,54,61,54
,,65 +,146,161,169,170,150,127,107,86,64,87,64,63,77,66,81,47,69,66,36,43,25,19,32,33,24,19,16,18,25,27,15,9,8,7,5,4
,Diabetes Status Unknown,All Recipient Ages,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,288,358,341,359,389,337,375,305,293,252,233,264,277,295,283,279,308,316,281,251,192,211,234,246,250,238,236,164,167,80,20,0,2,2,1,2
,,1-5 Years,12,11,7,9,6,7,6,9,5,7,8,8,12,6,3,3,3,1,4,5,2,5,10,6,3,8,1,7,2,4,0,0,0,0,0,0
,,6-10 Years,5,2,4,3,5,6,4,3,2,5,5,4,7,3,3,9,1,2,8,3,3,3,5,3,4,8,1,2,6,2,0,0,0,0,0,0
,,11-17 Years,6,13,19,7,8,9,15,15,11,14,7,11,7,13,17,21,17,18,25,11,12,12,6,14,8,12,12,10,15,6,1,0,0,1,0,0
,,18-34 Years,34,60,60,62,59,60,66,60,65,31,36,46,39,55,48,52,53,44,62,49,43,43,70,49,64,55,63,45,42,20,7,0,1,0,1,0
,,35-49 Years,85,83,66,91,104,84,115,78,99,81,56,93,82,88,78,66,81,96,77,79,65,60,67,93,82,70,64,45,42,24,9,0,1,1,0,2
,,50-64 Years,83,110,105,106,130,105,100,92,78,76,87,76,92,86,89,101,117,110,79,77,47,75,58,55,74,71,86,45,43,16,3,0,0,0,0,0
,,65 +,63,79,80,81,77,66,69,48,33,38,34,26,38,44,45,27,36,45,26,27,20,13,18,26,15,14,9,10,17,8,0,0,0,0,0,0
,Type I,All Recipient Ages,17,14,17,11,21,12,9,12,10,13,12,11,15,14,16,15,18,8,15,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,3,3,2,0,2,2,0,1,0,0,2,2,1,1,1,0,3,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,5,8,8,4,5,5,3,4,5,7,4,7,7,2,4,11,8,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,7,2,4,4,12,4,5,6,4,3,4,2,6,7,9,4,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,1,3,3,1,1,1,1,0,2,2,0,1,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,166,188,186,210,204,160,112,120,97,120,104,103,102,70,119,82,76,79,31,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,1,2,1,1,3,1,2,3,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,21,28,22,28,24,25,24,24,12,20,15,13,16,12,20,19,5,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,65,81,76,95,107,72,50,58,51,53,59,54,51,41,66,41,41,54,17,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,79,78,86,86,72,60,37,36,31,47,28,36,35,17,33,20,27,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,7,10,1,1,1,1,0,4,1,2,0,2,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,1,1,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,3,4,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,1,0,0,0,1,0,0,0,5,5,11,3,3,16,28,35,81,62,60,73,84,90,96,73,75,79,27,5,0,0,0,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,2,7,5,4,4,9,13,8,11,7,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,5,13,17,15,15,15,28,34,30,24,34,26,9,2,0,0,0,0,0
,,50-64 Years,0,0,0,1,0,0,0,0,0,0,0,3,2,7,2,3,7,18,19,46,40,33,39,45,43,52,29,28,36,11,3,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,1,0,0,0,1,3,2,1,0,3,3,2,16,5,5,14,7,9,5,7,5,5,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,2,9,7,32,68,220,255,214,238,230,236,239
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,5,4,4
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,10,4,5,3
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,17,7,8,13,10,7
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,5,15,51,53,69,72,75,62,78
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,5,3,9,26,73,95,76,76,72,89,89
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,15,22,69,69,45,58,54,61,54
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,19,15,9,8,7,5,4
Nebraska,All Diabetes,All Recipient Ages,135,144,155,151,166,137,155,109,131,139,164,149,125,126,134,99,118,151,100,111,97,85,90,87,80,76,68,87,74,63,71,59,58,42,50,65
,,1-5 Years,1,1,3,2,2,2,5,1,1,2,2,0,2,1,2,2,1,3,4,1,0,1,1,1,2,0,1,2,0,2,1,1,1,1,1,1
,,6-10 Years,1,3,3,1,1,1,0,1,0,0,1,3,0,4,0,0,2,0,2,0,2,2,2,2,3,0,1,2,0,0,1,1,1,0,1,1
,,11-17 Years,3,2,1,0,4,2,4,4,6,6,4,5,5,3,5,3,1,8,4,7,5,4,4,1,4,2,5,6,3,1,6,1,1,3,1,2
,,18-34 Years,16,14,16,17,19,12,13,16,17,11,22,18,13,21,15,16,14,21,15,14,16,15,20,17,11,18,12,20,24,22,20,19,17,15,19,24
,,35-49 Years,39,43,38,28,30,29,33,28,35,45,37,27,28,30,31,19,29,47,32,36,23,25,35,33,32,22,29,33,30,19,26,19,24,8,21,26
,,50-64 Years,43,49,51,64,70,59,66,41,53,46,71,64,51,49,56,43,55,59,34,42,40,34,21,26,23,29,18,19,15,15,14,16,12,14,7,10
,,65 +,32,32,43,39,40,32,34,18,19,29,27,32,26,18,25,16,16,13,9,11,11,4,7,7,5,5,2,5,2,4,3,2,2,1,0,1
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,90,96,91,83,100,86,108,75,82,93,110,97,82,94,90,73,80,93,78,80,67,57,65,66,63,52,41,61,46,19,1,0,0,0,0,0
,,1-5 Years,1,1,3,2,2,2,5,1,1,2,2,0,2,1,2,2,1,3,4,1,0,1,1,1,2,0,1,2,0,1,0,0,0,0,0,0
,,6-10 Years,1,3,3,1,1,1,0,1,0,0,1,3,0,4,0,0,2,0,2,0,2,2,2,2,3,0,1,2,0,0,0,0,0,0,0,0
,,11-17 Years,3,2,1,0,4,2,4,4,5,6,4,5,5,3,5,3,1,8,3,7,5,4,4,1,4,2,5,6,3,0,0,0,0,0,0,0
,,18-34 Years,14,14,12,15,17,8,12,14,17,8,22,15,12,20,14,15,14,18,13,14,13,9,18,16,7,13,9,17,17,8,1,0,0,0,0,0
,,35-49 Years,29,33,28,13,22,17,27,23,24,36,26,22,23,26,25,15,25,31,25,29,16,17,24,26,24,16,15,18,18,5,0,0,0,0,0,0
,,50-64 Years,25,24,30,32,34,34,40,24,26,25,38,36,25,30,35,27,28,27,26,23,23,22,12,15,19,18,9,11,7,4,0,0,0,0,0,0
,,65 +,17,19,14,20,20,22,20,8,9,16,17,16,15,10,9,11,9,6,5,6,8,2,4,5,4,3,1,5,1,1,0,0,0,0,0,0
,Type I,All Recipient Ages,6,5,10,10,11,10,9,5,8,6,8,9,6,6,8,4,7,15,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,0,3,1,1,3,1,2,0,1,0,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,2,1,2,7,4,3,1,3,2,3,3,3,2,1,4,2,1,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,3,4,4,2,6,3,6,0,5,2,5,5,3,4,4,1,6,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,39,43,54,58,54,41,38,29,39,38,44,41,35,24,35,21,29,27,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,0,1,1,1,1,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,8,9,8,8,4,9,5,2,7,5,8,2,3,3,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,15,21,17,30,29,22,20,17,22,19,27,21,21,14,16,15,19,18,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,15,13,28,19,20,9,13,10,10,13,9,16,11,7,16,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,0,0,0,0,1,0,0,0,2,2,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,15,6,25,30,28,24,20,17,22,26,20,19,7,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,1,1,4,4,2,0,4,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,6,7,8,11,7,8,5,14,13,8,2,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,14,17,12,9,10,4,11,9,7,6,5,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,5,3,2,3,2,1,2,1,0,1,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,9,37,70,58,58,42,50,63
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,3,1,2
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,14,19,18,17,15,19,22
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,12,26,19,24,8,21,26
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,14,16,12,14,7,10
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,0,1
Nevada,All Diabetes,All Recipient Ages,145,141,138,91,43,47,64,63,78,61,59,60,45,47,45,44,65,69,66,65,58,66,67,62,53,56,60,45,29,39,48,41,34,24,1,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,1,3,0,2,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
,,18-34 Years,18,17,17,17,8,11,9,11,11,7,10,14,5,7,7,11,13,10,11,9,15,8,13,16,9,8,13,10,5,15,9,9,3,10,0,0
,,35-49 Years,27,38,32,17,18,17,26,24,26,18,12,20,20,12,14,16,21,27,27,19,16,19,20,18,15,24,21,15,9,8,11,12,17,7,1,0
,,50-64 Years,62,64,68,37,13,15,18,20,24,25,24,17,13,18,12,13,18,29,22,33,19,32,27,21,21,19,19,18,14,12,20,15,7,6,0,0
,,65 +,38,22,21,20,4,4,11,8,17,11,11,8,7,7,9,3,10,3,4,3,8,6,7,7,7,5,7,2,1,3,7,5,7,1,0,0
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,87,83,83,58,34,37,45,44,52,38,41,45,34,37,36,37,46,44,50,45,38,37,41,46,38,39,39,27,16,15,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,1,3,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,17,17,17,16,7,11,9,9,9,7,8,14,5,7,6,11,11,10,11,8,14,8,11,13,7,5,9,5,3,6,0,0,0,0,0,0
,,35-49 Years,20,29,24,11,17,14,21,20,22,11,10,18,15,10,12,15,17,18,21,15,12,11,13,16,12,21,15,10,7,1,0,0,0,0,0,0
,,50-64 Years,33,31,36,20,8,11,10,11,13,13,13,11,8,12,9,7,9,14,14,20,8,15,15,13,14,9,11,10,6,7,0,0,0,0,0,0
,,65 +,17,6,6,11,2,1,5,4,8,7,8,1,6,5,6,3,6,2,2,1,4,2,2,4,4,4,4,2,0,1,0,0,0,0,0,0
,Type I,All Recipient Ages,1,3,4,2,1,0,1,2,5,3,3,0,3,3,5,3,5,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,1,1,3,2,0,0,1,1,1,2,2,0,2,2,0,1,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,1,0,0,0,0,0,0,1,1,0,0,1,1,2,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,52,52,49,31,8,10,18,16,18,13,8,12,5,3,1,4,8,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,6,8,5,4,1,3,4,3,2,4,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,25,29,30,17,5,4,8,9,8,7,5,5,3,3,0,4,4,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,20,15,14,9,2,3,6,3,8,2,3,6,1,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,1,0,0,0,0,1,3,7,7,3,3,4,3,0,5,6,8,14,18,26,23,12,15,17,16,7,8,3,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,2,2,3,4,2,1,1,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,1,1,0,1,2,0,2,0,1,3,3,2,3,6,5,1,3,3,3,2,2,0,0,0,0,0,0,0
,,50-64 Years,0,0,1,0,0,0,0,0,2,4,6,1,1,2,1,0,2,3,5,11,10,16,11,6,7,10,6,3,5,2,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,1,0,0,1,4,4,5,3,3,1,3,0,0,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,11,5,21,48,41,34,24,1,0
,,11-17 Years,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
